VARNAME,PROBLEM,VARIABILITY,VARSYNC,SOLN,FUNCTION,,,,,,,,,,
XVAR,problem1,,,0,,2,3,4,,,,,,,
YVAR,problem1,,,0,,2,3,4,,,,,,,
XBOUND,problem1,,,0,,1,2,3,,,,,,,
YBOUND,problem1,,,0,,1,2,3,,,,,,,
CONST,problem1,,,0,6/(2*XVAR*XBOUND^3*YBOUND + 3*YVAR*YBOUND^2*XBOUND),,,,,,,,,,
SOLNA,problem1,,,1,CONST*((XVAR*XBOUND^3*YBOUND^2)/6 + (YVAR*XBOUND*YBOUND^3)/3),,,,,,,,,,
VARA,problem2,,,0,,1,2,3,4,,,,,,
VARB,problem2,,,0,,1,2,3,4,,,,,,
VARC,problem2,,,0,,1,2,3,4,,,,,,
VARD,problem2,,,0,,88,150,,,,,,,,
SOLNB,problem2,,,1,"PIPE(VARA, VARB)",,,,,,,,,,
NA,problem3,,,0,,100,200,300,400,500,600,700,800,900,1000
PA,problem3,,,0,,0.4,0.45,0.5,0.55,0.6,0.7,0.8,,,
NB,problem3,,,0,NA/2,,,,,,,,,,
PB,problem3,,,0,,0.15,0.2,0.25,0.3,0.35,0.4,,,,
Dmu,problem3,,,1,NA*PA - 2*NB*PB,,,,,,,,,,
Dsigma,problem3,,,1,NA*PA*(1-PA) - 2^2(NB*PB*(1-PB)),,,,,,,,,,
SOLNC,problem3,,,1,1-phi((0.5 - Dmu) / Dsigma),,,,,,,,,,